tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,source_video
21,0,0.0,1141,78,16076.13,0,0.0,1.avi
21,1,0.2,1135,73,14666.873,0,40.870456934275744,1.avi
22,1,0.2,73,209,34350.996,0,0.0,1.avi
21,2,0.4,1129,73,14562.3125,0,26.761796221796573,1.avi
22,2,0.4,81,189,39168.35,0,108.22341522555294,1.avi
21,3,0.6,1118,76,14610.785,0,31.93610053766208,1.avi
22,3,0.6,93,180,45816.055,0,43.254226395966576,1.avi
21,4,0.8,1111,76,15260.367,0,20.13621219679252,1.avi
22,4,0.8,104,168,56672.234,0,12.56532423571698,1.avi
21,5,1.0,1110,74,15740.32,0,39.907695821519376,1.avi
22,5,1.0,117,175,59337.67,0,106.81753048844207,1.avi
21,6,1.2,1120,69,16587.32,0,71.40026502614616,1.avi
22,6,1.2,118,136,60027.965,0,246.133161605344,1.avi
21,7,1.4,1125,64,16770.234,0,13.05094600237324,1.avi
22,7,1.4,152,197,53489.59,0,545.0480292197985,1.avi
21,8,1.6,1126,61,15736.389,0,27.01845009385022,1.avi
22,8,1.6,173,222,58419.246,0,100.23939347373128,1.avi
21,9,1.8,1122,60,14492.881,0,36.52204374646461,1.avi
22,9,1.8,169,236,63945.2,0,166.7288647439078,1.avi
21,10,2.0,1113,63,12833.766,0,45.39583794711083,1.avi
22,10,2.0,171,234,64576.277,0,111.39312598530356,1.avi
21,11,2.2,1102,67,11969.483,0,24.38242836156184,1.avi
22,11,2.2,187,219,62863.992,0,129.06021094245926,1.avi
21,12,2.4,1093,76,13093.376,0,30.42378099903056,1.avi
22,12,2.4,203,217,60545.074,0,58.056113296152006,1.avi
21,13,2.6,1087,77,14339.843,0,44.29841091793742,1.avi
22,13,2.6,217,216,58274.51,0,18.88056586385486,1.avi
21,14,2.8,1089,78,14844.005,0,46.404870373043465,1.avi
22,14,2.8,223,220,56590.74,0,59.05536930054965,1.avi
21,15,3.0,1092,79,14875.134,0,22.349833709550516,1.avi
22,15,3.0,205,218,56166.703,0,145.6489668727757,1.avi
21,16,3.2,1103,78,15381.74,0,42.67368115239526,1.avi
22,16,3.2,191,230,53435.09,0,75.87323271227031,1.avi
21,17,3.4,1107,75,15763.67,0,28.680226620229085,1.avi
22,17,3.4,178,235,48159.156,0,24.40689681323809,1.avi
21,18,3.6,1107,76,15830.819,0,37.88698170177478,1.avi
22,18,3.6,161,236,53266.906,0,35.4962812663817,1.avi
21,19,3.8,1100,76,14614.904,0,45.5146777823482,1.avi
22,19,3.8,147,248,58211.047,0,64.99111627701464,1.avi
21,20,4.0,1093,76,13609.528,0,10.697866165357476,1.avi
22,20,4.0,140,256,61490.52,0,42.14397269947871,1.avi
21,21,4.2,1084,76,13944.953,0,10.216121126669549,1.avi
22,21,4.2,150,274,57724.04,0,121.9586630031716,1.avi
21,22,4.4,1083,76,14923.618,0,37.61382423679315,1.avi
22,22,4.4,157,281,58231.824,0,55.75770657932491,1.avi
21,23,4.6,1088,78,15386.381,0,45.47744054315663,1.avi
22,23,4.6,160,285,61269.95,0,31.345768979135045,1.avi
21,24,4.8,1091,82,15877.265,0,12.320724673966904,1.avi
22,24,4.8,156,283,61917.4,0,60.55411345068622,1.avi
21,25,5.0,1101,86,16447.797,0,37.940826931515765,1.avi
22,25,5.0,141,270,59841.605,0,98.34438775740824,1.avi
21,26,5.2,1109,88,16367.977,0,9.1452165250857,1.avi
22,26,5.2,111,260,52449.48,0,105.55753787477002,1.avi
21,27,5.4,1111,88,16011.158,0,39.680464075865714,1.avi
22,27,5.4,110,250,55570.156,0,143.73209733409854,1.avi
21,28,5.6,1109,89,15256.795,0,34.431490587184385,1.avi
22,28,5.6,104,231,51255.336,0,49.705505363130605,1.avi
21,29,5.8,1103,88,14444.743,0,27.580527022389862,1.avi
22,29,5.8,110,227,52468.625,0,100.4903286850106,1.avi
21,30,6.0,1095,90,14116.904,0,19.6720461508832,1.avi
22,30,6.0,123,230,54166.69,0,73.43184591630931,1.avi
21,31,6.2,1093,95,14749.307,0,33.87364998771833,1.avi
22,31,6.2,115,229,56352.918,0,105.48273460596742,1.avi
21,32,6.4,1099,99,15642.155,0,51.57640653671121,1.avi
22,32,6.4,107,228,56732.508,0,19.917120823851867,1.avi
21,33,6.6,1106,94,15736.055,0,52.75259022494172,1.avi
22,33,6.6,113,215,55238.887,0,99.4223053314103,1.avi
21,34,6.8,1112,90,15762.864,0,7.927446204416954,1.avi
22,34,6.8,115,210,53989.703,0,34.09308062298086,1.avi
21,35,7.0,1117,89,15246.923,0,15.172744289736476,1.avi
22,35,7.0,115,213,52924.793,0,50.02593405461593,1.avi
21,36,7.2,1124,95,14109.212,0,39.91960376693669,1.avi
22,36,7.2,110,222,52407.582,0,58.78596035110024,1.avi
21,37,7.4,1124,100,13617.494,0,35.525901689755855,1.avi
22,37,7.4,90,227,47572.207,0,92.27858508360742,1.avi
21,38,7.6,1118,102,13493.578,0,48.08721102042601,1.avi
22,38,7.6,86,216,43690.8,0,112.27124382078398,1.avi
21,39,7.8,1113,105,14203.497,0,2.6019789894793304,1.avi
22,39,7.8,68,217,35395.727,0,77.56881607992509,1.avi
21,40,8.0,1115,104,14992.088,0,38.31338922109664,1.avi
22,40,8.0,67,223,31683.777,0,87.03423076909135,1.avi
21,41,8.2,1120,106,15800.606,0,32.59102740042189,1.avi
22,41,8.2,69,223,29648.322,0,39.38393621499282,1.avi
21,42,8.4,1132,103,16144.047,0,45.53772452478049,1.avi
22,42,8.4,66,237,31120.398,0,71.53570060617771,1.avi
21,43,8.6,1149,105,17053.93,0,46.21912557736111,1.avi
22,43,8.6,55,239,28104.572,0,68.30367539414635,1.avi
21,44,8.8,1157,113,18301.863,0,60.063301959074046,1.avi
23,5,1.0,98,665,1204.1509,0,0.0,2.avi
23,6,1.2,107,658,1181.8252,0,58.52305585787954,2.avi
23,7,1.4,115,655,1095.7389,0,13.673261491739574,2.avi
24,7,1.4,397,487,950.6806,0,0.0,2.avi
23,8,1.6,119,653,1133.9912,0,18.685296381360654,2.avi
24,8,1.6,389,490,1216.3041,0,41.004135349570255,2.avi
25,8,1.6,77,163,4418.5664,0,0.0,2.avi
23,9,1.8,121,651,1067.4161,0,16.399422364633757,2.avi
