tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
9798,49.225,7.594,46.689,65.513,65.513,41.194,33.721,162.004,49.537,2.6,9,37.936,0.403,1.469
9799,259.999,7.006,255.304,258.418,270.937,250.622,6.474,60.91,12.054,4.4,23,6.768,0.012,1.862
9800,590.133,29.089,626.642,584.495,628.26,522.125,7.089,59.085,11.049,5.2,27,7.362,-0.067,1.559
9801,521.706,27.089,471.953,518.359,563.074,471.953,7.43,58.563,10.105,5.8,30,7.687,0.098,1.36
9802,265.416,7.697,268.101,294.692,294.692,255.496,4.944,57.749,9.977,6.0,31,5.109,0.099,2.018
9804,401.616,13.517,364.258,385.078,429.274,364.258,4.523,50.087,8.749,6.2,32,4.669,0.057,1.934
9805,434.654,14.111,458.648,458.403,462.005,412.896,4.812,48.0,8.581,5.8,30,4.978,-0.001,1.783
9806,131.266,4.851,131.356,125.543,145.923,123.338,6.363,44.676,11.28,5.0,25,6.628,-0.044,1.773
9807,630.523,24.867,558.975,615.302,666.223,558.975,5.429,49.6,8.316,6.2,32,5.604,0.101,1.532
9808,443.839,15.474,419.458,441.331,480.274,419.458,4.965,48.391,8.323,6.0,31,5.13,0.052,1.676
9809,263.198,13.305,295.204,236.425,295.204,231.331,5.359,41.308,7.26,5.6,29,5.55,-0.199,1.355
9810,148.256,8.664,148.02,154.529,165.556,137.691,4.461,40.789,8.887,5.2,26,4.64,0.044,1.992
9811,71.784,4.174,68.244,66.906,76.574,66.906,11.276,42.146,17.561,0.8,5,14.095,-0.02,1.557
9812,433.501,58.703,220.189,515.945,515.945,220.189,4.572,18.902,4.182,3.8,20,4.813,1.343,0.915
9814,568.344,101.68,245.171,692.576,692.576,245.171,6.138,19.014,5.395,3.2,17,6.522,1.825,0.879
9817,181.317,26.744,162.297,223.205,223.205,156.58,9.103,37.591,12.045,1.4,8,10.403,0.375,1.323
9824,1285.958,31.536,1389.089,1281.084,1389.089,1231.092,9.966,71.121,11.103,7.6,39,10.228,-0.078,1.114
9825,727.627,41.694,745.425,627.557,804.373,627.557,9.216,64.817,10.199,7.6,39,9.458,-0.158,1.107
9826,400.855,37.944,316.11,451.838,451.838,316.11,13.949,60.631,18.943,1.6,9,15.693,0.429,1.358
9827,1486.026,53.331,1413.816,1406.448,1636.856,1375.094,9.547,60.205,10.881,7.0,36,9.819,-0.005,1.14
9828,522.145,46.69,530.734,541.643,600.447,430.595,9.461,69.714,11.173,7.2,37,9.724,0.021,1.181
9829,262.792,6.646,258.94,264.598,272.191,254.539,15.802,63.626,20.643,1.4,8,18.06,0.022,1.306
9830,334.092,9.889,325.026,332.952,350.793,325.026,17.788,75.4,28.829,1.0,6,21.345,0.024,1.621
9831,378.834,31.466,396.728,378.936,499.754,342.606,15.602,151.522,29.244,9.6,44,15.965,-0.045,1.874
9832,410.864,12.488,437.68,431.027,437.68,390.164,9.502,79.5,15.857,4.4,23,9.934,-0.015,1.669
9833,366.69,24.178,401.067,288.054,401.067,288.054,10.737,79.997,19.3,3.0,16,11.453,-0.282,1.797
9834,817.659,58.465,526.481,878.537,878.537,526.481,8.361,41.068,8.491,5.8,30,8.649,0.669,1.016
9835,103.043,18.068,80.507,101.705,141.284,77.255,35.538,220.246,64.102,2.6,11,39.092,0.263,1.804
9836,338.145,11.34,338.115,349.127,357.951,303.836,11.096,77.307,15.07,4.4,23,11.6,0.033,1.358
9837,267.976,9.3,243.833,265.306,283.001,243.833,10.931,73.229,14.974,4.2,22,11.451,0.088,1.37
9838,391.865,13.24,405.506,418.706,424.264,375.988,9.621,82.083,15.904,4.6,24,10.04,0.033,1.653
9841,794.528,127.461,242.2,1018.239,1018.239,242.2,9.731,34.234,7.648,7.0,36,10.009,3.204,0.786
