tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,source_video
5831,0,0.0,710,624,1362.1715,0,0.0,1.avi
5832,0,0.0,209,136,2351.339,0,0.0,1.avi
5833,0,0.0,255,252,688.62915,0,0.0,1.avi
5834,0,0.0,322,256,2391.623,0,0.0,1.avi
5835,1,0.2,1182,243,564.5813,0,0.0,1.avi
5836,2,0.4,593,125,1400.0526,0,0.0,1.avi
5837,2,0.4,590,855,2674.7837,0,0.0,1.avi
5838,2,0.4,408,876,1247.9949,0,0.0,1.avi
5839,2,0.4,961,331,2209.6323,0,0.0,1.avi
5840,2,0.4,1065,280,1327.0756,0,0.0,1.avi
5841,3,0.6,988,96,1299.1158,0,0.0,1.avi
5842,3,0.6,338,718,1108.2168,0,0.0,1.avi
5843,3,0.6,180,544,1045.2412,0,0.0,1.avi
5832,4,0.8,172,131,1639.6143,0,187.1553544082223,1.avi
5841,4,0.8,972,135,3282.504,0,209.2392850732666,1.avi
5844,4,0.8,543,379,5794.3525,0,0.0,1.avi
5845,4,0.8,148,325,3595.5215,0,0.0,1.avi
5846,4,0.8,314,527,844.82306,0,0.0,1.avi
5847,4,0.8,833,207,2946.8015,0,0.0,1.avi
5848,4,0.8,799,485,1905.2979,0,0.0,1.avi
5849,4,0.8,141,516,1232.6145,0,0.0,1.avi
5850,4,0.8,767,812,586.7372,0,0.0,1.avi
5851,5,1.0,728,945,2664.9973,0,0.0,1.avi
5852,5,1.0,894,431,1932.533,0,0.0,1.avi
5853,5,1.0,194,819,1289.3015,0,0.0,1.avi
5854,5,1.0,718,346,2328.7424,0,0.0,1.avi
5855,5,1.0,524,5,336.40277,0,0.0,1.avi
5856,5,1.0,269,751,4176.7964,0,0.0,1.avi
5857,5,1.0,307,201,1051.3362,0,0.0,1.avi
5858,5,1.0,1193,603,2747.545,0,0.0,1.avi
5859,5,1.0,200,684,1888.0331,0,0.0,1.avi
5860,6,1.2,547,932,4690.31,0,0.0,1.avi
