tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
1322,0,0.0,66,328,18651.203,0,0.0,0.9156323671340942,1,0,2.4600983,256.06403,130.64685,401.56427,18651.203,0.0,0.0,0.0,0.0
1323,0,0.0,907,587,1437.8195,0,0.0,0.8494822978973389,1,0,886.60144,570.75415,929.12537,604.56616,1437.8195,0.0,0.0,0.0,0.0
1323,1,0.2,889,589,1142.3977,0,92.54836777196925,0.8391330242156982,3,0,871.83264,573.9756,907.5342,605.9741,1142.3977,-72.574905,9.240192,18.91092716127876,184.06282370743088
1324,1,0.2,135,427,10975.753,0,0.0,0.8533710837364197,1,0,84.81874,372.51825,185.21083,481.8471,10975.753,0.0,0.0,0.0,0.0
1323,2,0.4,868,592,1152.4397,0,33.921094586063475,0.8586053848266602,5,0,851.1215,575.66406,886.21075,608.5072,1152.4397,-102.34996,10.443398,7.170644959036547,181.41542237176304
1325,2,0.4,238,494,1866.5718,0,0.0,0.7506836652755737,1,0,218.22525,470.8164,258.07944,517.6514,1866.5718,0.0,0.0,0.0,0.0
1326,2,0.4,197,466,3191.531,0,0.0,0.5497025847434998,1,0,169.5505,437.9179,226.23471,494.22162,3191.531,0.0,0.0,0.0,0.0
1327,2,0.4,847,872,517.73584,0,0.0,0.665496826171875,1,0,835.53186,861.3967,859.3871,883.1,517.73584,0.0,0.0,0.0,0.0
1328,2,0.4,172,518,2266.0303,0,0.0,0.5919694900512695,1,0,148.52518,494.29962,196.27243,541.7585,2266.0303,0.0,0.0,0.0,0.0
1323,3,0.6,845,593,950.89624,0,13.63282551395921,0.8416499495506287,7,0,830.3033,577.9561,861.6871,608.25507,950.89624,-110.79033,6.344931,3.405070111456856,159.82596265458312
1326,3,0.6,197,487,14864.395,0,108.12289063241637,0.9207378625869751,3,0,138.25232,425.2128,257.6109,549.7484,14864.395,0.1557241,85.4725,20.94926164282772,267.5579953114786
1327,3,0.6,836,867,506.76392,0,59.353508062543256,0.4758016765117645,3,0,825.30835,856.14264,848.51855,877.97626,506.76392,-42.099785,-20.714079,12.6041545852263,155.39257745400278
1323,4,0.8,818,593,780.2755,0,32.14284461313644,0.7801457643508911,9,0,804.09576,579.99445,832.2496,607.70917,780.2755,-132.53261,4.338414,5.996761926580896,166.74889497834613
1326,4,0.8,181,490,15887.164,0,112.23008403373649,0.7527704834938049,5,0,120.58927,425.47327,242.76706,555.5064,15887.164,-74.413475,20.974182,22.364458878278228,139.3293714232242
1328,4,0.8,163,532,1932.5806,0,83.81038971566038,0.5450078248977661,4,0,140.10382,511.99142,187.4809,552.7829,1932.5806,-14.108934,23.537857,16.838197014395785,236.06973260988386
1329,5,1.0,434,534,2286.193,0,0.0,0.7973542213439941,1,0,412.68732,508.9298,456.57733,561.0189,2286.193,0.0,0.0,0.0,0.0
1330,5,1.0,86,550,19682.465,0,0.0,0.8766046166419983,1,0,9.672302,486.68384,163.70447,614.46533,19682.465,0.0,0.0,0.0,0.0
1323,6,1.2,735,613,561.3105,0,89.95106805065053,0.760223925113678,12,0,723.385,601.9774,747.0298,625.7167,561.3105,-138.6693,35.313442,16.943656158046686,257.549186863193
1328,6,1.2,160,525,4726.669,0,109.71431133485666,0.5788788795471191,7,0,123.42053,493.92914,198.1854,557.1496,4726.669,-4.345479,-13.85183,22.011638659003196,77.74300549779605
1331,6,1.2,270,573,1811.8138,0,0.0,0.7270317673683167,1,0,250.23584,551.10706,290.41772,596.1974,1811.8138,0.0,0.0,0.0,0.0
1323,7,1.4,710,615,1237.7747,0,34.929241731788046,0.8651398420333862,14,0,691.99713,598.50183,728.4118,632.4929,1237.7747,-128.21097,14.586426,6.427133487757409,66.85263550341364
1325,7,1.4,269,530,23681.98,0,239.3246411644676,0.9412911534309387,7,0,190.65668,455.30298,348.1789,605.64355,23681.98,10.734919,12.442695,47.23124572119595,310.77722769055
1332,7,1.4,759,861,769.46954,0,0.0,0.5779381990432739,1,0,742.46515,849.9094,776.0888,872.7942,769.46954,0.0,0.0,0.0,0.0
