tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
638,1,0.2,200,632,1489.9663,0,0.0,0.8419791460037231,1,0,180.56174,614.5687,221.3953,651.0575,1489.9663,0.0,0.0,0.0,0.0
639,1,0.2,866,42,8562.291,0,0.0,0.5125223398208618,1,0,815.14655,0.7191582,918.76227,83.3542,8562.291,0.0,0.0,0.0,0.0
638,2,0.4,171,629,1267.07,0,149.9820213099193,0.6798256635665894,3,0,154.14731,610.83856,188.88129,647.3178,1267.07,-117.62162,-14.909948,30.220046486257466,172.75120094513034
640,3,0.6,665,257,4697.4053,0,0.0,0.8496212363243103,1,0,630.98315,222.87091,699.40283,291.52667,4697.4053,0.0,0.0,0.0,0.0
641,4,0.8,778,635,2201.6462,0,0.0,0.839825451374054,1,0,753.97363,612.7312,802.37756,658.21606,2201.6462,0.0,0.0,0.0,0.0
642,4,0.8,671,316,1126.8818,0,0.0,0.6227442622184753,1,0,652.2325,301.93707,690.45575,331.41864,1126.8818,0.0,0.0,0.0,0.0
643,4,0.8,673,351,4974.1797,0,0.0,0.5040158629417419,1,0,634.4701,319.65103,712.0134,383.79813,4974.1797,0.0,0.0,0.0,0.0
644,5,1.0,641,587,895.9026,0,0.0,0.840542733669281,1,0,626.3162,572.55273,657.179,601.5813,895.9026,0.0,0.0,0.0,0.0
645,5,1.0,561,487,1191.216,0,0.0,0.5279446244239807,1,0,544.86304,469.19046,578.0681,505.06497,1191.216,0.0,0.0,0.0,0.0
646,6,1.2,494,560,2723.8127,0,0.0,0.7968653440475464,1,0,469.06885,534.4941,520.5437,587.4095,2723.8127,0.0,0.0,0.0,0.0
647,6,1.2,517,595,1089.087,0,0.0,0.7726060748100281,1,0,500.2992,580.1763,535.2853,611.3054,1089.087,0.0,0.0,0.0,0.0
648,6,1.2,438,781,707.1842,0,0.0,0.6212378144264221,1,0,425.85742,767.5152,452.00427,794.5618,707.1842,0.0,0.0,0.0,0.0
649,7,1.4,1038,453,1799.9816,0,0.0,0.8319644927978516,1,0,1016.0477,433.8739,1060.7726,474.11957,1799.9816,0.0,0.0,0.0,0.0
650,7,1.4,419,699,3730.7397,0,0.0,0.7451462149620056,1,0,381.52515,674.6885,457.1106,724.0464,3730.7397,0.0,0.0,0.0,0.0
651,7,1.4,207,818,1763.4685,0,0.0,0.739243745803833,1,0,186.44601,797.23584,228.47025,839.199,1763.4685,0.0,0.0,0.0,0.0
652,7,1.4,420,648,2158.5547,0,0.0,0.5328191518783569,1,0,398.03323,624.0365,442.3013,672.7975,2158.5547,0.0,0.0,0.0,0.0
640,8,1.6,622,234,765.7412,0,243.89543358000793,0.38708028197288513,7,0,608.3231,220.4141,635.9652,248.11606,765.7412,-14.780722,-7.8742375,49.02875264283666,151.75992455907476
649,8,1.6,1002,466,1239.2875,0,190.08310741073444,0.2118847370147705,3,0,982.4377,451.30725,1023.3438,481.60315,1239.2875,-141.79408,49.734364,38.337681958521586,198.2457369569587
653,8,1.6,538,549,962.2285,0,0.0,0.5460032224655151,1,0,521.7594,535.3265,554.6913,564.5452,962.2285,0.0,0.0,0.0,0.0
654,8,1.6,342,774,5021.1216,0,0.0,0.5386441946029663,1,0,298.7992,745.23645,385.71875,803.0039,5021.1216,0.0,0.0,0.0,0.0
