tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
838,0,0.0,885,826,1695.8578,0,0.0,0.7845109105110168,1,0,864.3557,806.0279,905.9387,846.81036,1695.8578,0.0,0.0,0.0,0.0
839,0,0.0,1027,78,5785.0073,0,0.0,0.7015125155448914,1,0,988.20544,41.246895,1065.8798,115.72463,5785.0073,0.0,0.0,0.0,0.0
838,1,0.2,906,782,3807.2808,0,247.95918494005312,0.8098224997520447,3,0,873.50354,753.5056,939.7156,811.00696,3807.2808,85.677925,-176.29872,49.07033255163991,64.85205587478526
839,1,0.2,998,102,4497.5693,0,187.14317916980931,0.5533052086830139,3,0,965.66296,67.96045,1031.4082,136.36948,4497.5693,-113.800415,94.52775,37.36832988076472,218.99523445092325
838,2,0.4,892,749,4479.291,0,162.71164448349097,0.8876159191131592,5,0,859.08575,715.97235,926.15326,782.7601,4479.291,-56.850212,-165.44762,31.80827554846696,183.61122776270406
839,2,0.4,981,125,5303.06,0,38.55476667839743,0.8831806778907776,5,0,945.43835,88.92108,1018.05786,161.94638,5303.06,-86.45108,114.507484,6.537289382057119,323.05210809428246
838,3,0.6,888,704,3539.1973,0,78.50276502581804,0.8738324642181396,7,0,858.28986,675.12805,918.9898,733.43445,3539.1973,-28.509604,-211.44778,14.010231989106623,61.19501300566384
839,3,0.6,948,182,4821.1543,0,207.47546293006295,0.30276229977607727,7,0,915.1711,145.92905,981.9747,218.09818,4821.1543,-147.36708,243.65762,37.47236802631657,243.94711393030434
838,4,0.8,890,640,4151.0986,0,128.44047783166027,0.5704237222671509,9,0,858.6402,608.1415,922.591,673.05225,4151.0986,0.96042633,-293.56985,23.09778574040019,72.1969046315524
839,4,0.8,929,236,3778.4714,0,66.94637345290663,0.7895562648773193,9,0,901.3493,202.76971,957.9194,269.5625,3778.4714,-106.92993,264.4655,11.208654914982079,332.04203406951854
840,4,0.8,891,244,2187.8018,0,0.0,0.7743824124336243,1,0,871.68317,216.89075,911.74005,271.50812,2187.8018,0.0,0.0,0.0,0.0
841,4,0.8,209,211,1083.7277,0,0.0,0.6259211301803589,1,0,193.09543,194.65973,225.75583,227.84143,1083.7277,0.0,0.0,0.0,0.0
839,5,1.0,893,305,2119.1443,0,124.21224277511897,0.8510713577270508,11,0,871.19165,280.91846,915.1344,329.14355,2119.1443,-164.95671,325.90216,22.059492608403453,226.27183959967937
841,5,1.0,197,197,1162.0735,0,90.59229541437799,0.2961212396621704,3,0,182.60062,178.39539,212.61575,217.11163,1162.0735,-47.17541,-53.880535,18.907016508518634,131.0864252273492
842,5,1.0,894,509,4793.5503,0,0.0,0.889265239238739,1,0,858.3041,476.2318,929.83716,543.24347,4793.5503,0.0,0.0,0.0,0.0
843,5,1.0,866,341,4635.4194,0,0.0,0.894453227519989,1,0,831.7964,307.82632,900.44214,375.353,4635.4194,0.0,0.0,0.0,0.0
838,6,1.2,866,443,2091.8723,0,165.06037725831987,0.6484761238098145,12,0,842.39417,421.6201,890.26587,465.3176,2091.8723,-43.317818,-330.94553,33.089912431099286,139.58022771094022
839,6,1.2,864,398,864.98035,0,163.03851139902997,0.7273260354995728,13,0,850.1111,383.43103,878.3196,414.09485,864.98035,-149.40475,435.71265,28.051039197530184,277.8440083364123
844,6,1.2,836,421,868.97455,0,0.0,0.802079439163208,1,0,821.1094,407.60803,851.6636,436.04846,868.97455,0.0,0.0,0.0,0.0
841,7,1.4,172,183,890.5083,0,94.209576650814,0.16812960803508759,6,0,158.00589,168.29674,186.45544,199.59807,890.5083,-42.196888,-22.384039,17.780558298802326,278.72466329350095
843,7,1.4,867,372,11983.213,0,153.89827342711854,0.92357337474823,4,0,809.1396,320.59775,924.9948,424.03036,11983.213,1.5540417,50.36786,30.423090538514323,271.65892356106286
843,8,1.6,853,381,4589.257,0,79.54841101967277,0.8236575722694397,6,0,818.3825,348.33612,887.93024,414.3233,4589.257,-57.00734,46.011562,14.4447965063011,174.48740013004408
845,8,1.6,820,380,683.51526,0,0.0,0.7956523895263672,1,0,808.6126,366.64703,832.78204,394.9272,683.51526,0.0,0.0,0.0,0.0
846,8,1.6,828,326,2507.2178,0,0.0,0.8257096409797668,1,0,803.3019,301.8883,854.02905,351.31384,2507.2178,0.0,0.0,0.0,0.0
847,8,1.6,861,346,921.01697,0,0.0,0.7933521270751953,1,0,846.4955,331.7903,877.31726,361.67233,921.01697,0.0,0.0,0.0,0.0
846,9,1.8,825,332,7351.357,0,35.19029857324718,0.9054839611053467,3,0,781.90857,291.18198,869.8363,374.78873,7351.357,-11.149893,25.486158,6.525645014163873,235.82643212757966
848,9,1.8,137,117,1221.9883,0,0.0,0.7847707271575928,1,0,121.65285,98.80577,153.6368,137.01207,1221.9883,0.0,0.0,0.0,0.0
845,10,2.0,838,368,948.7216,0,107.71960648932061,0.4734257459640503,4,0,820.4282,355.28586,856.30237,381.73166,948.7216,28.963911,-20.128447,21.514940643040422,36.46533009503531
846,10,2.0,811,336,2299.206,0,66.29425534267664,0.790282130241394,5,0,787.607,311.8693,834.4638,360.93808,2299.206,-68.879105,17.798296,12.81283875299606,170.64572491574586
847,10,2.0,842,341,764.8923,0,102.42848462994463,0.6348042488098145,4,0,828.79236,326.91867,855.6505,355.39755,764.8923,-32.270348,-9.136391,20.71501182978557,163.9381495172952
