tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
813,0,0.0,289,465,17637.588,0,0.0,0.8845383524894714,1,0,235.35141,384.34247,344.00583,546.66986,17637.588,0.0,0.0,0.0,0.0
814,0,0.0,972,794,950.7941,0,0.0,0.8487849831581116,1,0,957.25793,778.3388,987.287,810.0013,950.7941,0.0,0.0,0.0,0.0
813,1,0.2,352,466,27250.043,0,315.6454863981793,0.48800426721572876,3,0,271.6002,381.56348,432.76187,550.64856,27250.043,249.51064,2.3946047,62.32333716385713,359.5459969829054
814,1,0.2,948,780,1351.2703,0,138.69809003814615,0.8602386116981506,3,0,930.6525,761.41943,966.5501,799.06177,1351.2703,-94.49569,-55.606647,28.105915843013385,149.72400238206689
815,1,0.2,386,500,1074.3169,0,0.0,0.5219355225563049,1,0,369.21326,485.25952,404.28125,515.8948,1074.3169,0.0,0.0,0.0,0.0
813,2,0.4,418,434,21354.818,0,187.57562026260757,0.9087281823158264,5,0,345.43723,362.1681,492.45505,507.42133,21354.818,326.72827,-143.1768,36.26460374091319,63.96574581652965
814,2,0.4,909,758,996.4469,0,116.0008946589602,0.8389658331871033,5,0,894.4724,742.8277,925.3036,775.14716,996.4469,-185.22754,-102.00165,23.49935062798771,151.75952690232612
813,3,0.6,453,418,22914.266,0,188.10360825029193,0.8038241267204285,7,0,379.63504,340.81873,526.4056,496.94183,22914.266,206.80804,-94.39448,33.45710694448679,200.72634886780645
814,3,0.6,860,734,1131.5646,0,71.44689019699653,0.8451024889945984,7,0,843.8905,717.93134,877.23083,751.87115,1131.5646,-232.32578,-116.13614,13.637098352715666,160.3441922125735
815,3,0.6,421,471,1768.1445,0,225.09860981162078,0.5774246454238892,4,0,400.99216,449.73825,441.33945,493.56137,1768.1445,56.423843,-47.421856,45.255478763424456,40.8105142657663
816,3,0.6,463,387,5724.029,0,0.0,0.696812629699707,1,0,423.6134,351.849,502.8446,424.09363,5724.029,0.0,0.0,0.0,0.0
813,4,0.8,498,457,24139.188,0,323.62605306621737,0.9081012606620789,9,0,423.42245,377.1246,574.3428,537.07117,24139.188,224.0836,124.765205,57.11334446717878,273.63209233059473
814,4,0.8,794,693,1224.5908,0,148.0960598298936,0.7436355352401733,9,0,777.18506,676.55835,812.38403,711.3489,1224.5908,-306.44916,-184.15414,27.43261963960158,137.09984446427183
817,5,1.0,663,611,1321.9567,0,0.0,0.8383479118347168,1,0,644.92206,594.18494,682.8752,629.01624,1321.9567,0.0,0.0,0.0,0.0
818,5,1.0,366,481,2635.707,0,0.0,0.550579845905304,1,0,342.30157,453.77402,389.82697,509.23294,2635.707,0.0,0.0,0.0,0.0
819,5,1.0,411,498,28136.695,0,0.0,0.9019511938095093,1,0,329.53308,412.79395,494.002,583.87,28136.695,0.0,0.0,0.0,0.0
820,6,1.2,349,678,3262.4146,0,0.0,0.7154915928840637,1,0,319.28262,651.95795,379.6794,705.9743,3262.4146,0.0,0.0,0.0,0.0
821,6,1.2,356,629,25555.654,0,0.0,0.8718199729919434,1,0,276.2849,549.93616,437.1803,708.77014,25555.654,0.0,0.0,0.0,0.0
821,7,1.4,364,633,26438.887,0,43.44323262908458,0.881099283695221,3,0,281.4139,553.7179,447.1459,713.24585,26438.887,30.128931,16.481905,8.13108538671562,333.3520503384631
821,8,1.6,288,589,36140.848,0,494.4044144533818,0.8939647674560547,5,0,199.4957,487.3739,377.10587,690.85803,36140.848,-345.38187,-201.76965,95.16821643743349,149.86493716232508
822,8,1.6,286,671,3349.4387,0,0.0,0.5279286503791809,1,0,251.92267,647.18115,320.43903,696.0664,3349.4387,0.0,0.0,0.0,0.0
820,9,1.8,360,682,24873.893,0,56.76909638378029,0.8797422647476196,5,0,282.6567,602.40314,437.8497,762.68024,24873.893,9.081465,3.0143554,10.94775664107165,343.91143240980455
823,10,2.0,1112,979,13633.372,0,0.0,0.8371890187263489,1,0,1036.2784,934.50305,1189.1923,1023.6603,13633.372,0.0,0.0,0.0,0.0
824,10,2.0,436,785,30849.625,0,0.0,0.8747798800468445,1,0,348.08057,697.5487,524.2324,872.67957,30849.625,0.0,0.0,0.0,0.0
825,11,2.2,692,887,28314.34,0,0.0,0.8993852734565735,1,0,623.0407,786.1084,762.68463,988.8694,28314.34,0.0,0.0,0.0,0.0
825,12,2.4,663,903,39640.094,0,168.63913941338708,0.6484447717666626,3,0,559.6959,807.40125,766.9275,998.6852,39640.094,-117.96793,62.09302,33.65075923268989,207.44802514026
826,12,2.4,682,978,344.49454,0,0.0,0.6341300010681152,1,0,673.1731,968.69543,691.12915,987.88086,344.49454,0.0,0.0,0.0,0.0
827,12,2.4,621,824,765.9747,0,0.0,0.6707183718681335,1,0,607.40906,810.821,635.7999,837.8006,765.9747,0.0,0.0,0.0,0.0
828,12,2.4,676,953,949.97614,0,0.0,0.6645321249961853,1,0,661.50977,937.98804,691.8696,969.27856,949.97614,0.0,0.0,0.0,0.0
829,12,2.4,700,843,1143.2041,0,0.0,0.6569232940673828,1,0,685.2477,824.6372,715.71765,862.15625,1143.2041,0.0,0.0,0.0,0.0
830,12,2.4,706,962,441.97897,0,0.0,0.6317382454872131,1,0,697.1864,951.10046,716.71643,973.7312,441.97897,0.0,0.0,0.0,0.0
831,12,2.4,636,954,2039.3467,0,0.0,0.597030520439148,1,0,613.15826,932.926,660.24567,976.23584,2039.3467,0.0,0.0,0.0,0.0
