tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
1555,0,0.0,874,851,3482.8933,0,0.0,0.8729943633079529,1,0,842.1248,824.8803,906.40546,879.0629,3482.8933,0.0,0.0,0.0,0.0
1556,0,0.0,1153,578,821.7234,0,0.0,0.8272656202316284,1,0,1139.7694,564.1931,1167.7037,593.6094,821.7234,0.0,0.0,0.0,0.0
1557,0,0.0,44,726,814.8859,0,0.0,0.7670098543167114,1,0,31.386082,711.0371,58.128056,741.5093,814.8859,0.0,0.0,0.0,0.0
1558,0,0.0,1182,573,690.53625,0,0.0,0.7202557325363159,1,0,1168.943,560.93,1196.6373,585.8642,690.53625,0.0,0.0,0.0,0.0
1555,1,0.2,875,856,3258.672,0,23.642834644667133,0.8745326399803162,3,0,845.6159,829.15546,905.1663,883.87665,3258.672,4.4948897,18.141434,4.09486023256891,280.3383031407891
1556,1,0.2,1147,581,974.1304,0,35.87546446795301,0.7306666970252991,3,0,1132.4946,564.6901,1161.6675,598.08185,974.1304,-26.568869,9.919058,7.0559321105093735,197.30423519169602
1557,1,0.2,43,727,849.49945,0,7.6377989095665875,0.7749403119087219,3,0,29.985672,711.97266,57.514763,742.83093,849.49945,-4.0193644,4.505504,1.9014568303171924,202.47229983900243
1558,1,0.2,1173,577,709.03973,0,49.287110573942634,0.4704494774341583,3,0,1160.177,564.33185,1187.5127,590.2701,709.03973,-35.709667,15.584229,10.432074645812131,200.20426449413398
1555,2,0.4,875,863,3418.0347,0,16.78403273056628,0.8847041130065918,5,0,845.27264,835.373,906.3984,891.2911,3418.0347,2.41314,32.738346,3.1335452416735237,245.68793735106348
1556,2,0.4,1136,587,922.4587,0,36.84170271927117,0.7098437547683716,5,0,1121.9164,571.88873,1150.7462,603.8853,922.4587,-51.461395,30.60385,6.814719812111741,212.18793343294598
