tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
5832,1995.477,503.265,2351.339,1639.614,2351.339,1639.614,93.578,187.155,132.339,0.8,2,187.155,-0.303,1.414
5841,2290.81,1402.467,1299.116,3282.504,3282.504,1299.116,104.62,209.239,147.955,0.2,2,209.239,1.527,1.414
5845,3655.268,84.495,3595.522,3715.015,3715.015,3595.522,115.713,231.426,163.643,1.0,2,231.426,0.033,1.414
5848,1330.234,813.263,1905.298,755.17,1905.298,755.17,52.711,105.423,74.545,1.2,2,105.423,-0.604,1.414
5855,1014.037,958.32,336.403,1691.671,1691.671,336.403,88.886,177.772,125.704,0.4,2,177.772,4.029,1.414
5856,3090.885,1535.71,4176.796,2004.974,4176.796,2004.974,78.421,156.842,110.904,0.8,2,156.842,-0.52,1.414
5860,3126.61,2211.405,4690.31,1562.911,4690.31,1562.911,110.61,221.22,156.426,0.4,2,221.22,-0.667,1.414
5861,1794.299,1095.272,1019.825,2568.773,2568.773,1019.825,119.57,239.14,169.097,1.2,2,239.14,1.519,1.414
5863,3253.779,1530.409,2171.616,4335.941,4335.941,2171.616,101.654,203.308,143.76,0.6,2,203.308,0.997,1.414
5871,11179.205,13804.962,20940.787,1417.623,20940.787,1417.623,105.783,211.567,149.6,1.0,2,211.567,-0.932,1.414
5872,14094.837,14946.25,24663.432,3526.242,24663.432,3526.242,53.023,106.046,74.985,1.2,2,106.046,-0.857,1.414
5873,2059.782,1877.128,3387.112,732.452,3387.112,732.452,86.162,172.324,121.852,0.6,2,172.324,-0.784,1.414
5876,1579.157,955.58,2254.854,903.46,2254.854,903.46,111.778,223.556,158.078,0.2,2,223.556,-0.599,1.414
5877,2362.796,439.903,2051.738,2673.854,2673.854,2051.738,58.707,117.415,83.025,1.2,2,117.415,0.303,1.414
5912,3454.181,1066.054,2700.367,4207.995,4207.995,2700.367,85.422,170.845,120.805,0.4,2,170.845,0.558,1.414
5915,3951.672,3140.663,6172.456,1730.888,6172.456,1730.888,52.411,104.822,74.12,0.8,2,104.822,-0.72,1.414
5916,1421.235,361.593,1676.919,1165.55,1676.919,1165.55,99.817,199.635,141.163,0.4,2,199.635,-0.305,1.414
5918,2897.206,1222.575,2032.715,3761.697,3761.697,2032.715,72.429,144.858,102.43,0.6,2,144.858,0.851,1.414
5919,7698.62,2799.401,10449.082,7794.057,10449.082,4852.72,108.254,230.609,115.949,1.4,3,162.38,-0.254,1.071
5921,1849.398,393.0,1571.506,2127.291,2127.291,1571.506,66.576,133.152,94.153,1.2,2,133.152,0.354,1.414
