tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed,source_video
3041,0,0.0,1255,900,444.00323,0,0.0,1.avi
3042,0,0.0,856,230,431.4275,0,0.0,1.avi
3043,2,0.4,1116,23,699.10974,0,0.0,1.avi
3044,2,0.4,1048,1007,436.3818,0,0.0,1.avi
3045,2,0.4,1174,122,508.62402,0,0.0,1.avi
3046,3,0.6,357,827,428.50958,0,0.0,1.avi
3047,10,2.0,686,928,965.6306,0,0.0,2.avi
3048,11,2.2,481,814,959.3467,0,0.0,2.avi
3049,0,0.0,661,373,582.43,0,0.0,3.avi
3050,2,0.4,569,556,593.3365,0,0.0,3.avi
3051,3,0.6,385,484,599.8941,0,0.0,3.avi
3052,4,0.8,311,677,452.43814,0,0.0,3.avi
3053,5,1.0,999,77,668.6571,0,0.0,3.avi
3054,8,1.6,508,1019,202.15028,0,0.0,3.avi
3055,9,1.8,991,933,354.9763,0,0.0,3.avi
3056,9,1.8,277,241,1025.723,0,0.0,3.avi
3057,10,2.0,1084,990,666.7736,0,0.0,3.avi
3058,10,2.0,931,763,486.4021,0,0.0,3.avi
3059,10,2.0,91,193,964.14374,0,0.0,3.avi
3060,11,2.2,742,681,471.99045,0,0.0,3.avi
3061,11,2.2,864,628,1376.9474,0,0.0,3.avi
3062,12,2.4,681,602,1227.1493,0,0.0,3.avi
3063,13,2.6,1222,542,926.92505,0,0.0,3.avi
3064,15,3.0,1000,221,670.8861,0,0.0,3.avi
3065,15,3.0,911,940,661.8809,0,0.0,3.avi
3066,16,3.2,710,845,629.05444,0,0.0,3.avi
3067,17,3.4,557,657,609.80615,0,0.0,3.avi
3068,17,3.4,506,748,664.90857,0,0.0,3.avi
3069,17,3.4,677,373,869.4597,0,0.0,3.avi
3070,2,0.4,737,8,451.3086,0,0.0,4.avi
3071,2,0.4,481,25,627.63275,0,0.0,4.avi
3072,3,0.6,414,84,626.7365,0,0.0,4.avi
3073,4,0.8,348,142,624.74335,0,0.0,4.avi
3074,4,0.8,763,452,995.79266,0,0.0,4.avi
3075,4,0.8,1261,646,620.64453,0,0.0,4.avi
3076,5,1.0,280,201,640.83185,0,0.0,4.avi
3077,5,1.0,650,482,992.27875,0,0.0,4.avi
3078,5,1.0,1205,701,644.7687,0,0.0,4.avi
3079,6,1.2,661,317,3801.4514,0,0.0,4.avi
3080,6,1.2,1149,755,612.6191,0,0.0,4.avi
3081,6,1.2,213,259,622.18036,0,0.0,4.avi
3082,7,1.4,1092,808,606.7214,0,0.0,4.avi
3083,8,1.6,1034,861,603.60535,0,0.0,4.avi
3084,8,1.6,871,676,573.6935,0,0.0,4.avi
3085,9,1.8,761,717,567.2537,0,0.0,4.avi
3086,9,1.8,975,911,582.24725,0,0.0,4.avi
3087,10,2.0,455,56,988.5772,0,0.0,4.avi
3088,10,2.0,917,961,580.7952,0,0.0,4.avi
3089,10,2.0,656,757,577.8699,0,0.0,4.avi
3090,11,2.2,1217,628,996.8238,0,0.0,4.avi
3091,11,2.2,856,1009,585.80963,0,0.0,4.avi
3092,11,2.2,383,89,976.7604,0,0.0,4.avi
3093,11,2.2,22,720,768.16974,0,0.0,4.avi
3094,12,2.4,1141,649,1094.8008,0,0.0,4.avi
3095,14,2.8,807,290,1027.3138,0,0.0,4.avi
3096,14,2.8,345,656,862.2804,0,0.0,4.avi
