tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed,source_video
2321,0,0.0,1159,421,615.869,0,0.0,1.avi
2322,0,0.0,544,809,222.46178,0,0.0,1.avi
2323,1,0.2,251,36,406.9798,0,0.0,1.avi
2324,4,0.8,108,195,503.85553,0,0.0,1.avi
2325,5,1.0,395,215,791.83545,0,0.0,1.avi
2326,5,1.0,1228,722,843.6529,0,0.0,1.avi
2327,5,1.0,581,45,577.76855,0,0.0,1.avi
2328,5,1.0,194,113,509.17355,0,0.0,1.avi
2329,5,1.0,890,96,379.5478,0,0.0,1.avi
2330,5,1.0,4,322,264.1425,0,0.0,1.avi
2331,6,1.2,1269,819,471.45148,0,0.0,1.avi
2332,6,1.2,553,445,787.6803,0,0.0,1.avi
2333,7,1.4,1058,214,362.18735,0,0.0,1.avi
2334,7,1.4,1156,599,408.2004,0,0.0,1.avi
2335,7,1.4,1085,766,460.1381,0,0.0,1.avi
2336,7,1.4,1274,532,266.32916,0,0.0,1.avi
2337,8,1.6,263,277,851.59595,0,0.0,1.avi
2338,8,1.6,1038,650,808.2375,0,0.0,1.avi
2339,8,1.6,341,718,421.70026,0,0.0,1.avi
2340,8,1.6,113,276,416.06104,0,0.0,1.avi
2341,8,1.6,282,741,729.9184,0,0.0,1.avi
2342,8,1.6,320,497,666.96747,0,0.0,1.avi
2343,9,1.8,972,747,535.2723,0,0.0,1.avi
2344,9,1.8,775,813,1905.9508,0,0.0,1.avi
2345,9,1.8,1196,453,685.0804,0,0.0,1.avi
2346,9,1.8,1189,702,376.5491,0,0.0,1.avi
2347,9,1.8,1047,716,1072.6437,0,0.0,1.avi
2348,9,1.8,762,657,1138.9154,0,0.0,1.avi
2349,9,1.8,1216,820,518.36194,0,0.0,1.avi
2350,9,1.8,685,881,199.59985,0,0.0,1.avi
2351,9,1.8,950,1015,629.3682,0,0.0,1.avi
2352,10,2.0,918,786,3230.6475,0,0.0,1.avi
2353,10,2.0,783,484,690.34753,0,0.0,1.avi
2354,10,2.0,924,979,1428.5453,0,0.0,1.avi
2355,10,2.0,1025,398,656.8916,0,0.0,1.avi
2356,10,2.0,183,592,689.8313,0,0.0,1.avi
2357,10,2.0,402,421,1798.4224,0,0.0,1.avi
2358,10,2.0,162,776,836.6371,0,0.0,1.avi
2359,11,2.2,1110,686,706.2511,0,0.0,1.avi
2360,12,2.4,448,182,512.3915,0,0.0,1.avi
2361,12,2.4,489,705,383.6232,0,0.0,1.avi
2362,13,2.6,1064,537,908.36414,0,0.0,1.avi
2363,13,2.6,559,955,768.73315,0,0.0,1.avi
2364,13,2.6,885,424,558.22797,0,0.0,1.avi
2365,13,2.6,459,1009,329.0133,0,0.0,1.avi
2366,13,2.6,391,858,477.44394,0,0.0,1.avi
2367,14,2.8,772,955,1549.494,0,0.0,1.avi
2365,15,3.0,441,993,595.25,0,38.70936944982604,1.avi
