tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
16,26773.525,3325.658,24421.93,29125.12,29125.12,24421.93,179.866,359.732,254.369,0.4,2,359.732,0.193,1.414
17,18690.184,558.983,18294.924,19085.445,19085.445,18294.924,183.91,367.82,260.088,0.2,2,367.82,0.043,1.414
18,24966.621,11692.777,20227.988,16063.56,42165.234,16063.56,234.657,396.12,184.379,1.0,4,312.876,-0.206,0.786
