tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed,source_video
0,0,0.0,781,262,4242.37,0,0.0,1.avi
1,0,0.0,810,131,4878.3784,0,0.0,1.avi
2,0,0.0,462,519,1705.098,0,0.0,1.avi
3,0,0.0,219,587,1672.8411,0,0.0,1.avi
4,1,0.2,407,746,11960.955,0,0.0,1.avi
5,1,0.2,331,436,4288.182,0,0.0,1.avi
6,1,0.2,854,321,2080.6296,0,0.0,1.avi
7,1,0.2,850,634,4452.0283,0,0.0,1.avi
8,1,0.2,251,754,2770.2742,0,0.0,1.avi
9,1,0.2,775,539,1350.1627,0,0.0,1.avi
10,1,0.2,308,712,1494.7125,0,0.0,1.avi
11,1,0.2,227,286,3205.361,0,0.0,1.avi
4,2,0.4,435,729,4698.8584,0,128.7134049934194,1.avi
12,2,0.4,930,184,2418.2378,0,0.0,1.avi
13,2,0.4,601,198,2467.0427,0,0.0,1.avi
14,2,0.4,969,113,1260.1444,0,0.0,1.avi
15,2,0.4,941,552,3318.6738,0,0.0,1.avi
16,2,0.4,83,441,10003.999,0,0.0,1.avi
17,2,0.4,854,686,6210.706,0,0.0,1.avi
10,3,0.6,331,752,3086.8247,0,76.14115566457801,1.avi
18,3,0.6,1037,202,7074.153,0,0.0,1.avi
19,3,0.6,1165,451,6386.3716,0,0.0,1.avi
1,4,0.8,813,147,1307.6294,0,7.912814223572267,1.avi
7,4,0.8,832,616,750.0554,0,21.2309585528826,1.avi
19,4,0.8,1189,455,8725.921,0,100.04655654525295,1.avi
20,4,0.8,625,501,8104.041,0,0.0,1.avi
21,4,0.8,875,1002,2758.496,0,0.0,1.avi
22,4,0.8,988,713,2625.408,0,0.0,1.avi
8,5,1.0,218,784,3933.7888,0,22.866892560875534,1.avi
13,5,1.0,631,184,3411.4194,0,27.83654815320925,1.avi
23,5,1.0,488,807,5372.6934,0,0.0,1.avi
24,5,1.0,515,112,4659.6953,0,0.0,1.avi
25,5,1.0,415,562,7520.9175,0,0.0,1.avi
26,5,1.0,637,885,4130.1543,0,0.0,1.avi
27,5,1.0,871,212,3389.3596,0,0.0,1.avi
8,6,1.2,252,766,3231.795,0,155.39453944918722,1.avi
10,6,1.2,398,822,2328.2476,0,81.54730461900625,1.avi
12,6,1.2,908,199,2667.874,0,13.34652273775657,1.avi
15,6,1.2,926,511,6669.676,0,22.41772813895533,1.avi
24,6,1.2,509,135,1801.8223,0,94.04161416794427,1.avi
28,6,1.2,1070,767,2775.4985,0,0.0,1.avi
29,6,1.2,1148,313,2092.39,0,0.0,1.avi
30,6,1.2,540,924,1689.1691,0,0.0,1.avi
13,7,1.4,610,149,2312.2544,0,75.1972503808733,1.avi
31,7,1.4,738,848,2832.98,0,0.0,1.avi
32,7,1.4,343,650,1501.8176,0,0.0,1.avi
33,7,1.4,734,156,1916.8538,0,0.0,1.avi
34,8,1.6,207,623,5369.343,0,0.0,1.avi
35,8,1.6,1220,839,3102.428,0,0.0,1.avi
