tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
988,5,1.0,637,528,4980.599,0,0.0,0.6241720914840698,1,0,601.963,494.0481,673.75085,563.4275,4980.599,0.0,0.0,0.0,0.0
989,9,1.8,344,498,74480.36,0,0.0,0.8727079033851624,1,0,207.21045,363.36414,482.34106,634.07324,74480.36,0.0,0.0,0.0,0.0
990,11,2.2,761,820,36685.598,0,0.0,0.8904141783714294,1,0,669.2314,720.4944,853.5079,919.5735,36685.598,0.0,0.0,0.0,0.0
991,13,2.6,519,38,14430.297,0,0.0,0.7076212167739868,1,0,426.64783,0.0,612.69763,77.56146,14430.297,0.0,0.0,0.0,0.0
992,14,2.8,34,493,12087.9,0,0.0,0.7056277394294739,1,0,0.107559204,406.69507,69.464294,580.98096,12087.9,0.0,0.0,0.0,0.0
