tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
762,3769.77,217.383,3652.768,3927.824,4056.538,3521.06,87.776,217.167,89.302,0.8,5,81.506,16.301,40.998,129.787,81.506,1.0,0.868,0,109.72,0.075,1.017
763,6853.747,3883.555,4107.659,9599.835,9599.835,4107.659,73.793,147.585,104.359,0.2,2,29.915,14.957,29.915,44.799,29.915,1.0,0.8,0,147.585,1.337,1.414
770,982.505,714.217,1487.533,477.477,1487.533,477.477,85.359,170.719,120.716,3.2,2,34.848,17.424,34.848,107.081,34.848,1.0,0.433,0,170.719,-0.679,1.414
771,23204.855,3398.701,24582.814,22410.389,26910.19,18916.027,297.203,445.086,208.69,0.6,4,228.145,57.036,88.932,163.638,228.145,1.0,0.749,0,396.271,-0.088,0.702
776,23269.899,3393.584,25669.525,20870.273,25669.525,20870.273,218.908,437.816,309.582,0.2,2,86.148,43.074,86.148,149.868,86.148,1.0,0.889,0,437.816,-0.187,1.414
777,1636.64,287.63,1840.026,1433.255,1840.026,1433.255,8.524,17.048,12.054,1.6,2,3.969,1.985,3.969,100.816,3.969,1.0,0.551,0,17.048,-0.221,1.414
778,1137.528,775.92,719.25,2032.84,2032.84,660.492,61.66,134.871,68.173,1.6,3,36.532,12.177,27.258,185.791,36.532,1.0,0.515,0,92.49,1.826,1.106
779,16222.921,9987.36,554.605,20086.37,24100.85,554.605,219.663,474.236,158.895,2.4,8,314.559,39.32,84.036,92.902,314.559,1.0,0.755,0,251.043,35.217,0.723
780,1338.124,326.45,1568.96,1107.289,1568.96,1107.289,44.758,89.515,63.297,1.6,2,18.388,9.194,18.388,90.007,18.388,1.0,0.654,0,89.515,-0.294,1.414
781,601.671,68.49,536.944,533.224,752.325,533.224,57.508,126.815,44.625,1.4,8,83.55,10.444,22.151,176.647,83.55,1.0,0.314,0,65.723,-0.007,0.776
782,14832.58,8518.166,22830.854,5875.634,22830.854,5875.634,116.542,247.054,124.118,0.4,3,68.261,22.754,48.26,111.606,68.261,1.0,0.764,0,174.813,-0.743,1.065
784,10248.574,5120.75,5559.978,9472.793,15712.95,5559.978,144.725,308.187,154.945,0.4,3,85.548,28.516,59.629,82.151,85.548,1.0,0.772,0,217.088,0.704,1.071
785,2509.811,1189.988,909.71,2998.426,3710.32,909.71,129.415,246.562,105.775,0.8,4,101.988,25.497,48.375,80.656,101.988,1.0,0.429,0,172.553,2.296,0.817
788,1765.518,1188.071,3436.11,643.301,3436.11,643.301,117.159,189.727,91.326,2.6,4,93.793,23.448,38.538,112.104,93.793,1.0,0.605,0,156.213,-0.813,0.78
789,1019.658,6.408,1024.19,1015.127,1024.19,1015.127,96.974,193.947,137.142,0.8,2,38.969,19.485,38.969,28.69,38.969,1.0,0.404,0,193.947,-0.009,1.414
792,2286.478,1231.554,3157.318,1415.638,3157.318,1415.638,76.323,152.646,107.937,0.2,2,30.229,15.115,30.229,13.706,30.229,1.0,0.414,0,152.646,-0.552,1.414
796,21813.521,5079.868,29158.006,17699.85,29158.006,17699.85,215.844,409.52,173.5,0.6,4,164.753,41.188,79.407,86.044,164.753,1.0,0.826,0,287.793,-0.393,0.804
797,3349.813,181.169,3221.708,3477.919,3477.919,3221.708,70.57,141.139,99.801,0.4,2,27.41,13.705,27.41,164.269,27.41,1.0,0.8,0,141.139,0.08,1.414
798,1547.885,1044.491,2286.452,809.318,2286.452,809.318,12.806,25.612,18.11,1.2,2,5.591,2.795,5.591,95.823,5.591,1.0,0.633,0,25.612,-0.646,1.414
800,20610.414,6915.314,23797.7,10259.419,24693.975,10259.419,178.538,292.289,125.402,1.0,4,133.827,33.457,59.072,173.008,133.827,1.0,0.655,0,238.05,-0.569,0.702
801,26059.29,345.948,25814.668,26303.912,26303.912,25814.668,115.243,230.486,162.978,0.8,2,45.436,22.718,45.436,138.764,45.436,1.0,0.899,0,230.486,0.019,1.414
804,1129.671,554.576,1708.755,603.378,1708.755,603.378,77.349,124.466,67.516,0.4,3,45.016,15.005,24.651,164.282,45.016,1.0,0.679,0,116.023,-0.647,0.873
806,22859.11,2910.621,24917.229,20800.99,24917.229,20800.99,219.189,438.378,309.98,0.2,2,87.052,43.526,87.052,117.883,87.052,1.0,0.907,0,438.378,-0.165,1.414
813,22659.181,3544.336,17637.588,24139.188,27250.043,17637.588,202.99,323.626,131.252,0.8,5,189.158,37.832,62.323,179.574,189.158,1.0,0.799,0,253.738,0.369,0.647
814,1130.933,164.208,950.794,1224.591,1351.27,950.794,94.848,148.096,60.724,0.8,5,92.675,18.535,28.106,119.786,92.675,1.0,0.827,0,118.56,0.288,0.64
815,1421.231,490.61,1074.317,1768.144,1768.144,1074.317,112.549,225.099,159.169,0.4,2,45.255,22.628,45.255,20.405,45.255,1.0,0.55,0,225.099,0.646,1.414
820,14068.154,15281.623,3262.415,24873.893,24873.893,3262.415,28.385,56.769,40.142,0.6,2,10.948,5.474,10.948,171.956,10.948,1.0,0.798,0,56.769,6.624,1.414
821,29378.463,5873.024,25555.654,36140.848,36140.848,25555.654,179.283,494.404,273.767,0.4,3,103.299,34.433,95.168,161.072,103.299,1.0,0.882,0,268.924,0.414,1.527
825,33977.217,8008.517,28314.34,39640.094,39640.094,28314.34,84.32,168.639,119.246,0.2,2,33.651,16.825,33.651,103.724,33.651,1.0,0.774,0,168.639,0.4,1.414
832,5722.25,1844.892,7026.786,4417.715,7026.786,4417.715,95.461,190.921,135.002,0.2,2,38.683,19.342,38.683,45.009,38.683,1.0,0.885,0,190.921,-0.371,1.414
833,1627.42,150.944,1760.356,1890.188,1917.88,1301.121,26.658,174.127,39.419,3.6,19,96.779,5.094,31.047,159.802,96.779,1.0,0.845,0,28.139,0.074,1.479
834,5065.833,694.629,4335.28,5478.876,6727.752,3549.144,123.112,236.054,81.29,4.0,21,465.212,22.153,45.549,186.526,465.212,1.0,0.866,0,129.268,0.264,0.66
835,6100.229,1314.856,5383.919,6624.268,9454.0,3456.409,93.123,245.042,53.422,6.2,32,534.475,16.702,43.709,158.501,534.475,1.0,0.853,0,96.127,0.23,0.574
836,1325.626,195.871,1112.651,1333.19,1543.57,1112.651,106.751,226.203,85.831,1.0,5,102.768,20.554,44.777,172.65,102.768,1.0,0.414,0,133.439,0.198,0.804
837,1134.848,320.968,1503.486,917.367,1503.486,917.367,95.961,155.67,83.928,0.4,3,56.35,18.783,30.889,129.274,56.35,1.0,0.793,0,143.942,-0.39,0.875
838,1216.383,189.904,699.31,1336.675,1375.498,699.31,81.761,159.747,54.271,2.0,11,166.541,15.14,29.063,148.698,166.541,1.0,0.62,0,89.937,0.911,0.664
839,6165.272,1068.541,6723.725,3638.587,7360.353,3638.587,110.968,224.93,70.819,3.2,17,338.965,19.939,40.587,128.781,338.965,1.0,0.855,0,117.904,-0.459,0.638
841,4389.334,3982.916,7205.681,1572.987,7205.681,1572.987,15.73,31.459,22.245,0.2,2,5.898,2.949,5.898,13.29,5.898,1.0,0.783,0,31.459,-0.782,1.414
