tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
21,15095.358,1189.739,16076.13,18301.863,18301.863,11969.483,32.679,71.4,15.607,8.8,45,33.422,0.138,0.478
22,52199.177,9867.261,34350.996,28104.572,64576.277,28104.572,89.558,545.048,85.009,8.4,43,91.69,-0.182,0.949
23,1175.481,77.563,1204.151,1303.663,1311.029,1067.416,33.449,174.899,47.348,2.8,12,36.49,0.083,1.416
24,1069.143,135.117,950.681,1040.443,1216.304,950.681,17.423,41.004,21.184,0.4,3,26.134,0.094,1.216
25,3865.437,782.243,4418.566,3312.308,4418.566,3312.308,26.233,52.466,37.099,0.2,2,52.466,-0.25,1.414
27,6201.214,846.094,7468.471,6426.664,7528.82,4723.773,56.083,166.568,43.555,2.4,11,61.692,-0.139,0.777
28,5296.305,820.627,5135.686,4646.124,6887.436,4197.612,63.249,170.642,52.049,2.4,10,70.277,-0.095,0.823
29,4080.093,724.95,3567.476,4592.71,4592.71,3567.476,35.41,70.82,50.077,0.2,2,70.82,0.287,1.414
30,4265.343,1186.68,3138.945,3266.409,5718.619,3138.945,32.202,105.179,41.88,0.8,5,40.253,0.041,1.301
31,1443.327,339.684,1719.44,1546.53,1719.44,1064.01,84.33,193.577,99.165,0.4,3,126.495,-0.101,1.176
32,4087.755,723.585,3222.873,4231.148,4949.329,3222.873,101.069,215.259,84.083,0.8,5,126.337,0.313,0.832
33,1358.785,81.535,1391.808,1403.797,1463.688,1228.761,23.132,85.613,31.4,1.0,6,27.759,0.009,1.357
34,4565.288,689.83,5482.412,4568.031,6046.794,3257.529,81.255,210.881,61.734,3.4,14,87.505,-0.167,0.76
35,2062.5,707.393,1324.648,2492.92,3658.991,1211.632,41.495,179.204,43.406,4.6,20,43.679,0.882,1.046
37,4258.813,889.284,4859.012,2957.653,4859.012,2957.653,79.716,152.475,71.126,0.6,4,106.287,-0.391,0.892
38,2563.119,19.645,2577.01,2549.227,2577.01,2549.227,26.926,53.851,38.079,0.2,2,53.851,-0.011,1.414
39,1934.19,131.413,1784.338,1988.436,2029.797,1784.338,19.644,49.293,26.125,0.4,3,29.465,0.114,1.33
42,1997.419,126.508,2065.284,2075.513,2075.513,1851.46,93.132,210.204,107.127,0.4,3,139.699,0.005,1.15
44,24699.301,1065.665,23945.762,25452.84,25452.84,23945.762,168.534,337.068,238.343,0.4,2,337.068,0.063,1.414
45,3865.948,642.325,2169.548,4293.002,5307.489,2169.548,62.428,161.765,47.349,3.6,18,66.1,0.979,0.758
46,4171.089,323.333,3891.556,4232.193,4626.684,3648.164,84.789,136.809,35.461,2.0,11,93.268,0.088,0.418
47,4106.796,890.97,3476.785,4736.807,4736.807,3476.785,108.73,217.459,153.767,0.2,2,217.459,0.362,1.414
48,4408.72,380.794,4881.176,4650.791,5151.485,3585.415,66.675,158.073,42.277,4.4,23,69.706,-0.047,0.634
49,829.096,400.022,425.063,1224.983,1224.983,425.063,15.924,36.251,18.522,0.4,3,23.887,1.882,1.163
50,5104.671,853.529,4256.731,6120.965,7228.344,3665.701,71.188,227.912,54.649,4.8,24,74.283,0.438,0.768
51,1584.572,148.956,1538.078,1645.065,1751.705,1403.44,101.038,147.592,69.119,0.6,4,134.718,0.07,0.684
