tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
3575,230.703,5.108,224.568,232.492,236.617,224.568,19.279,48.052,21.079,0.6,4,25.706,0.035,1.093
3577,1827.597,1035.1,2569.199,2268.556,2569.199,645.038,10.574,22.285,11.186,2.0,3,15.861,-0.117,1.058
3578,7461.953,8652.712,13580.344,1343.562,13580.344,1343.562,39.697,79.395,56.141,0.4,2,79.395,-0.901,1.414
3580,1490.301,1555.821,2590.433,390.169,2590.433,390.169,1.409,2.818,1.992,1.0,2,2.818,-0.849,1.414
3583,28675.277,14469.503,18843.412,31635.227,55281.457,17630.36,113.052,197.121,85.662,1.8,6,135.663,0.679,0.758
3584,50422.744,8610.268,55906.863,37976.742,56472.51,37976.742,331.908,664.567,329.363,0.6,4,442.544,-0.321,0.992
3586,48036.858,6505.528,37308.473,39772.5,54951.734,37308.473,120.368,338.071,100.022,1.4,8,137.563,0.066,0.831
3587,5959.298,4967.057,9471.538,2447.058,9471.538,2447.058,34.204,68.407,48.371,0.4,2,68.407,-0.742,1.414
3592,16018.022,4768.725,19390.02,12646.025,19390.02,12646.025,57.155,114.311,80.83,0.2,2,114.311,-0.348,1.414
3599,310.861,14.846,326.82,297.462,326.82,297.462,47.885,109.374,55.941,0.4,3,71.828,-0.09,1.168
3604,28714.273,11192.099,17624.055,17556.24,42582.39,17556.24,122.921,228.663,95.892,0.8,5,153.651,-0.004,0.78
3605,26769.238,4884.74,23315.205,30223.27,30223.27,23315.205,126.67,253.339,179.138,0.2,2,253.339,0.296,1.414
3607,55337.35,5468.669,61932.188,53164.254,61932.188,49143.46,155.183,244.417,106.835,0.6,4,206.911,-0.142,0.688
3613,2271.037,1303.461,1349.351,3192.723,3192.723,1349.351,25.468,50.936,36.017,0.2,2,50.936,1.366,1.414
3614,4959.844,5275.059,8689.874,1229.814,8689.874,1229.814,75.974,151.948,107.443,0.2,2,151.948,-0.858,1.414
3617,37138.756,1088.715,36368.918,37908.594,37908.594,36368.918,100.38,200.76,141.958,0.2,2,200.76,0.042,1.414
3618,38166.26,11807.004,26840.973,40769.133,54846.918,16231.899,183.961,545.898,157.777,2.0,11,202.357,0.519,0.858
3620,35262.844,27469.254,54686.54,15839.148,54686.54,15839.148,85.624,171.248,121.091,0.2,2,171.248,-0.71,1.414
3622,44438.934,8069.611,46811.406,25487.324,51957.926,25487.324,365.116,694.865,241.442,1.6,9,410.756,-0.456,0.661
3623,1613.99,1320.389,2547.647,680.334,2547.647,680.334,4.881,9.762,6.903,0.8,2,9.762,-0.733,1.414
3627,1062.698,163.272,886.724,960.932,1207.867,886.724,131.452,215.325,92.695,0.6,4,175.269,0.084,0.705
3635,50587.631,13858.284,59675.45,41224.438,65607.14,29281.506,522.2,850.598,273.514,1.2,7,609.234,-0.309,0.524
3636,24937.936,5421.629,28771.607,21104.266,28771.607,21104.266,15.971,31.941,22.586,0.8,2,31.941,-0.266,1.414
3637,46569.198,10539.58,56957.51,24901.764,61962.484,24901.764,256.28,476.861,130.042,3.4,16,273.365,-0.563,0.507
3638,35788.438,8775.082,24345.404,42809.72,49917.742,24345.404,232.962,378.102,106.826,2.8,11,256.258,0.758,0.459
